id,category,prompt,expected_need,citation_known,text_needed,search_needed,case_law_needed,historical_needed,normattiva_score,normattiva_verdict,gestiolex_score,gestiolex_verdict,winner,normattiva_strengths,normattiva_weaknesses,gestiolex_strengths,gestiolex_weaknesses
1,exact_known_link,Linka art. 2043 c.c.,link_normattiva,True,False,False,False,False,4,strong,2,partial,normattiva,link Normattiva deterministico,,"puo verificare o recuperare fonte, ma meno deterministico",non e ottimizzato per generare link URN-NIR
2,exact_known_link,Linka art. 2051 c.c.,link_normattiva,True,False,False,False,False,4,strong,2,partial,normattiva,link Normattiva deterministico,,"puo verificare o recuperare fonte, ma meno deterministico",non e ottimizzato per generare link URN-NIR
3,exact_known_link,Linka art. 2947 c.c.,link_normattiva,True,False,False,False,False,4,strong,2,partial,normattiva,link Normattiva deterministico,,"puo verificare o recuperare fonte, ma meno deterministico",non e ottimizzato per generare link URN-NIR
4,exact_known_link,Linka art. 2697 c.c.,link_normattiva,True,False,False,False,False,4,strong,2,partial,normattiva,link Normattiva deterministico,,"puo verificare o recuperare fonte, ma meno deterministico",non e ottimizzato per generare link URN-NIR
5,exact_known_link,Linka art. 2087 c.c.,link_normattiva,True,False,False,False,False,4,strong,2,partial,normattiva,link Normattiva deterministico,,"puo verificare o recuperare fonte, ma meno deterministico",non e ottimizzato per generare link URN-NIR
6,exact_known_link,Linka art. 83 c.p.c.,link_normattiva,True,False,False,False,False,4,strong,2,partial,normattiva,link Normattiva deterministico,,"puo verificare o recuperare fonte, ma meno deterministico",non e ottimizzato per generare link URN-NIR
7,exact_known_link,Linka art. 112 c.p.c.,link_normattiva,True,False,False,False,False,4,strong,2,partial,normattiva,link Normattiva deterministico,,"puo verificare o recuperare fonte, ma meno deterministico",non e ottimizzato per generare link URN-NIR
8,exact_known_link,Linka art. 183 c.p.c.,link_normattiva,True,False,False,False,False,4,strong,2,partial,normattiva,link Normattiva deterministico,,"puo verificare o recuperare fonte, ma meno deterministico",non e ottimizzato per generare link URN-NIR
9,exact_known_link,Linka art. 360 c.p.c.,link_normattiva,True,False,False,False,False,4,strong,2,partial,normattiva,link Normattiva deterministico,,"puo verificare o recuperare fonte, ma meno deterministico",non e ottimizzato per generare link URN-NIR
10,exact_known_link,Linka art. 96 c.p.c.,link_normattiva,True,False,False,False,False,4,strong,2,partial,normattiva,link Normattiva deterministico,,"puo verificare o recuperare fonte, ma meno deterministico",non e ottimizzato per generare link URN-NIR
